cycog_iid	cycog_cns_product
CyCOG_60000001	membrane protease FtsH catalytic subunit
CyCOG_60000002	ATP-dependent Clp protease ATP-binding subunit ClpA
CyCOG_60000003	ATP-dependent Clp protease proteolytic subunit ClpP
CyCOG_60000004	hypothetical protein
CyCOG_60000005	chaperonin GroEL
CyCOG_60000006	two component transcriptional regulator, winged helix family
CyCOG_60000007	C-terminal processing peptidase-2. Serine peptidase. MEROPS family S41A
CyCOG_60000008	serine protease, S1-C subfamily, contains C-terminal PDZ domain
CyCOG_60000009	lipoic acid synthetase
CyCOG_60000010	Protein of unknown function (DUF2811)
CyCOG_60000011	peptidylprolyl isomerase
CyCOG_60000012	ABC-2 type transport system ATP-binding protein
CyCOG_60000013	imidazole glycerol phosphate synthase subunit hisF
CyCOG_60000014	hypothetical protein
CyCOG_60000015	dTDP-4-amino-4,6-dideoxygalactose transaminase
CyCOG_60000016	SpoIID/LytB domain protein
CyCOG_60000017	cysteine desulfurase
CyCOG_60000018	hypothetical protein
CyCOG_60000019	hypothetical protein
CyCOG_60000020	XTP/dITP diphosphohydrolase
CyCOG_60000021	lycopene cyclase (CrtL-type)
CyCOG_60000022	Protein of unknown function (DUF2862)
CyCOG_60000023	chlorophyll a/b binding light-harvesting protein PcbA
CyCOG_60000024	ferredoxin
CyCOG_60000025	conserved hypothetical protein
CyCOG_60000026	signal peptidase I Serine peptidase. MEROPS family S26A
CyCOG_60000027	hypothetical protein
CyCOG_60000028	Protein of unknown function (DUF3764)
CyCOG_60000029	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
CyCOG_60000030	Protein of unknown function (DUF3303)
CyCOG_60000031	CP12 domain-containing protein
CyCOG_60000032	photosystem II P680 reaction center D1 protein
CyCOG_60000033	Phospho-N-acetylmuramoyl-pentapeptide-transferase
CyCOG_60000034	hypothetical protein
CyCOG_60000035	phosphate ABC transporter substrate-binding protein, PhoT family
CyCOG_60000036	Uncharacterized conserved protein, DUF1499 family
CyCOG_60000037	DNA-directed RNA polymerase subunit beta'
CyCOG_60000038	Uncharacterized membrane protein
CyCOG_60000039	glutamate synthase (ferredoxin)
CyCOG_60000040	thymidylate synthase (FAD)
CyCOG_60000041	cytochrome c oxidase subunit 1
CyCOG_60000042	DNA mismatch repair protein MutS2
CyCOG_60000043	3-oxoacyl-[acyl-carrier-protein] reductase
CyCOG_60000044	DNA-directed RNA polymerase subunit beta
CyCOG_60000045	HNH endonuclease
CyCOG_60000046	UDP-glucuronate 4-epimerase
CyCOG_60000047	selenophosphate synthase
CyCOG_60000048	DNA-directed RNA polymerase gamma chain
CyCOG_60000049	translation elongation factor 2 (EF-2/EF-G)
CyCOG_60000050	sulfate permease, SulP family
CyCOG_60000051	DNA-(apurinic or apyrimidinic site) lyase
CyCOG_60000052	transketolase
CyCOG_60000053	dolichol-phosphate mannosyltransferase
CyCOG_60000054	competence/damage-inducible protein cinA
CyCOG_60000055	hydroxymethylpyrimidine synthase
CyCOG_60000056	3-isopropylmalate dehydratase, large subunit
CyCOG_60000057	Isoleucyl-tRNA synthetase
CyCOG_60000058	muramoyltetrapeptide carboxypeptidase
CyCOG_60000059	hypothetical protein
CyCOG_60000060	3-isopropylmalate dehydratase, small subunit
CyCOG_60000061	mannose-1-phosphate guanylyltransferase
CyCOG_60000062	methylthioadenosine phosphorylase
CyCOG_60000063	photosystem II P680 reaction center D2 protein
CyCOG_60000064	molecular chaperone DnaJ
CyCOG_60000065	iron(III) transport system ATP-binding protein
CyCOG_60000066	methylenetetrahydrofolate reductase (NADPH)
CyCOG_60000067	cytochrome c oxidase subunit 2
CyCOG_60000068	alanyl-tRNA synthetase
CyCOG_60000069	DNA topoisomerase IV subunit A
CyCOG_60000070	bacterial translation initiation factor 2 (bIF-2)
CyCOG_60000071	photosystem II cytochrome b559 subunit beta
CyCOG_60000072	aconitase
CyCOG_60000073	orotate phosphoribosyltransferase
CyCOG_60000074	serine hydroxymethyltransferase
CyCOG_60000075	translation elongation factor 1A (EF-1A/EF-Tu)
CyCOG_60000076	phosphoribosylformylglycinamidine synthase subunit II
CyCOG_60000077	cytochrome c oxidase subunit 3
CyCOG_60000078	Excinuclease ABC subunit B
CyCOG_60000079	poly(A) polymerase
CyCOG_60000080	glycine oxidase
CyCOG_60000081	photosystem I P700 chlorophyll a apoprotein A2
CyCOG_60000082	heme oxygenase
CyCOG_60000083	photosystem II PsbJ protein
CyCOG_60000084	S-adenosylmethionine decarboxylase
