COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	155	269	57.62081784386617
D	36	53	67.9245283018868
E	258	454	56.82819383259912
F	62	113	54.86725663716814
G	195	374	52.139037433155075
H	123	222	55.4054054054054
I	129	241	53.52697095435685
J	126	225	56.00000000000001
K	164	319	51.410658307210035
L	102	152	67.10526315789474
M	159	253	62.845849802371546
N	42	51	82.35294117647058
No Annotation	19	40	47.5
O	105	195	53.84615384615385
P	115	210	54.761904761904766
Q	51	88	57.95454545454546
R	201	366	54.91803278688525
S	89	228	39.03508771929825
T	184	257	71.59533073929961
U	41	71	57.74647887323944
V	44	77	57.14285714285714
W	10	20	50.0
X	15	31	48.38709677419355
