contig	assembly_name	gene_callers_id	start	stop	Archaea_76	Bacteria_71	COG20_CATEGORY	COG20_FUNCTION	COG20_PATHWAY	CyCOGv6	KEGG_BRITE	KEGG_Class	KEGG_Module	KOfam	Protista_83	Ribosomal_RNA_16S	Ribosomal_RNA_23S	Transfer_RNAs	Archaea_76_ACC	Bacteria_71_ACC	COG20_CATEGORY_ACC	COG20_FUNCTION_ACC	COG20_PATHWAY_ACC	CyCOGv6_ACC	KEGG_BRITE_ACC	KEGG_Class_ACC	KEGG_Module_ACC	KOfam_ACC	Protista_83_ACC	Ribosomal_RNA_16S_ACC	Ribosomal_RNA_23S_ACC	Transfer_RNAs_ACC	type
c_000000000003	SQK-NBD114-24_barcode16_6	1747.1	279824	286337																													intergenic
c_000000000003	SQK-NBD114-24_barcode16_6	1895.1	459534	467485																													intergenic
c_000000000003	SQK-NBD114-24_barcode16_6	2539.1	1234092	1240223																													intergenic
c_000000000003	SQK-NBD114-24_barcode16_6	2845.1	1593637	1599706																													intergenic
c_000000000004	SQK-NBD114-24_barcode16_6	3867.1	226641	232566																													intergenic
c_000000000001	SQK-NBD114-24_barcode16_1	2535.1	2631423	2637772																													intergenic
c_000000000001	SQK-NBD114-24_barcode07_2	1520.1	1685121	1691023																													intergenic
c_000000000001	SQK-NBD114-24_barcode17_6	191.1	189303	195652																													intergenic
c_000000000001	SQK-NBD114-24_barcode17_1	277.1	320504	327088																													intergenic
c_000000000001	SQK-NBD114-24_barcode17_1	2618.1	2796129	2802392																													intergenic
c_000000000001	SQK-NBD114-24_barcode17_1	4139.1	4485223	4493367																													intergenic
c_000000000002	SQK-NBD114-24_barcode06_2	34.0	260	506			Posttranslational modification, protein turnover, chaperones	Fe-S cluster assembly iron-binding protein IscA (IscA) (PDB:1R94)		Fe-S cluster assembly iron-binding protein IscA											O	COG0316		CyCOG_60000721									gene
c_000000000002	SQK-NBD114-24_barcode06_2	34.1	507	597																													intergenic
c_000000000002	SQK-NBD114-24_barcode06_2	35.0	598	910						valyl-tRNA synthetase														CyCOG_60000144									gene
c_000000000013	SQK-NBD114-24_barcode06_2	237.1	3159	4458																													intergenic
c_000000000013	SQK-NBD114-24_barcode06_2	240.0	4459	4576						alkaline phosphatase														CyCOG_60001947									gene
c_000000000020	SQK-NBD114-24_barcode06_2	401.0	0	324			Energy production and conversion	Fe-S-cluster-containing hydrogenase component 2 (HycB)		Iron-Sulfur binding protein C terminal											C	COG1142		CyCOG_60001097									gene
