contig	Position	Modification	Total_coverage	Percent_modified	gene_callers_id	start	stop	Archaea_76	Bacteria_71	COG20_CATEGORY	COG20_FUNCTION	COG20_PATHWAY	CyCOGv6	KEGG_BRITE	KEGG_Class	KEGG_Module	KOfam	Protista_83	Ribosomal_RNA_16S	Ribosomal_RNA_23S	Transfer_RNAs	Archaea_76_ACC	Bacteria_71_ACC	COG20_CATEGORY_ACC	COG20_FUNCTION_ACC	COG20_PATHWAY_ACC	CyCOGv6_ACC	KEGG_BRITE_ACC	KEGG_Class_ACC	KEGG_Module_ACC	KOfam_ACC	Protista_83_ACC	Ribosomal_RNA_16S_ACC	Ribosomal_RNA_23S_ACC	Transfer_RNAs_ACC	type
c_000000000001	2765	6mA	13	0.85	2.0	2130	3429			Carbohydrate transport and metabolism	Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)		Glycosyl transferase family 2											G	COG1216		CyCOG_60037672									gene
c_000000000001	3421	6mA	14	0.71	2.0	2130	3429			Carbohydrate transport and metabolism	Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)		Glycosyl transferase family 2											G	COG1216		CyCOG_60037672									gene
c_000000000001	7309	6mA	11	0.82	6.0	6975	7371			Mobilome: prophages, transposons	Transposase			KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09192 Unclassified: genetic information processing>>>99976 Replication and repair			transposase							X	COG3436			ko00001			K07484					gene
c_000000000001	7451	6mA	11	0.91	6.1	7372	7668																													intergenic
c_000000000001	7672	6mA	13	1.0	8.0	7669	8020			Inorganic ion transport and metabolism	Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)													P	COG3119											gene
c_000000000001	8524	6mA	11	0.91	9.0	8235	9207						Sulfotransferase family														CyCOG_60014955									gene
c_000000000001	12530	6mA	13	0.77	12.0	11836	13081			Cell wall/membrane/envelope biogenesis	Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)		Glycosyltransferase involved in cell wall bisynthesis											M	COG0438		CyCOG_60005786									gene
c_000000000001	13825	6mA	11	0.82	13.0	13099	14395			Carbohydrate transport and metabolism	Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)		hypothetical protein	KEGG Orthology (KO)>>>09100 Metabolism>>>09107 Glycan biosynthesis and metabolism>>>00541 O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]!!!Enzymes>>>1. Oxidoreductases>>>1.1  Acting on the CH-OH group of donors>>>1.1.1  With NAD+ or NADP+ as acceptor>>>1.1.1.426  UDP-N-acetyl-alpha-D-quinovosamine dehydrogenase			N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]							G	COG1216		CyCOG_60004208	ko00001!!!ko01000			K16870					gene
c_000000000001	18137	6mA	10	0.8	15.0	15949	18484			Mobilome: prophages, transposons	Transposase and inactivated derivatives, TnpA family													X	COG4644											gene
c_000000000001	19511	6mA	10	0.8	15.1	18485	20135																													intergenic
c_000000000001	19687	6mA	10	0.8	15.1	18485	20135																													intergenic
c_000000000001	20256	6mA	12	0.75	16.0	20136	21333			Replication, recombination and repair	Site-specific recombinase XerD (XerD) (PDB:1A0P)													L	COG4974											gene
c_000000000001	20473	6mA	12	0.92	16.0	20136	21333			Replication, recombination and repair	Site-specific recombinase XerD (XerD) (PDB:1A0P)													L	COG4974											gene
c_000000000001	20598	6mA	14	0.86	16.0	20136	21333			Replication, recombination and repair	Site-specific recombinase XerD (XerD) (PDB:1A0P)													L	COG4974											gene
c_000000000001	20951	6mA	12	0.92	16.0	20136	21333			Replication, recombination and repair	Site-specific recombinase XerD (XerD) (PDB:1A0P)													L	COG4974											gene
c_000000000001	21970	6mA	10	0.9	18.0	21926	22283			Lipid transport and metabolism	Diacylglycerol kinase (DgkA) (PDB:2KDC)		diacylglycerol kinase (ATP)											I	COG0818		CyCOG_60000253									gene
c_000000000001	22520	6mA	11	1.0	19.0	22408	22831			Signal transduction mechanisms	Nucleotide-binding universal stress protein,  UspA family (UspA) (PDB:1JMV)			KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09193 Unclassified: signaling and cellular processes>>>99995 Signaling proteins			universal stress protein A							T	COG0589			ko00001			K06149					gene
c_000000000001	23463	6mA	11	0.73	19.1	22832	23588																													intergenic
