gene_callers_id	contig	start	stop	Archaea_76	Bacteria_71	COG20_CATEGORY	COG20_FUNCTION	COG20_PATHWAY	CyCOGv6	KEGG_BRITE	KEGG_Class	KEGG_Module	KOfam	Protista_83	Ribosomal_RNA_16S	Ribosomal_RNA_23S	Transfer_RNAs	Archaea_76_ACC	Bacteria_71_ACC	COG20_CATEGORY_ACC	COG20_FUNCTION_ACC	COG20_PATHWAY_ACC	CyCOGv6_ACC	KEGG_BRITE_ACC	KEGG_Class_ACC	KEGG_Module_ACC	KOfam_ACC	Protista_83_ACC	Ribosomal_RNA_16S_ACC	Ribosomal_RNA_23S_ACC	Transfer_RNAs_ACC	type
0	c_000000000001	0	879			Energy production and conversion!!!Posttranslational modification, protein turnover, chaperones	Cytochrome c biogenesis protein ResB (ResB)		cytochrome c biogenesis protein	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09192 Unclassified: genetic information processing>>>99975 Protein processing			cytochrome c biogenesis protein							C!!!O	COG1333		CyCOG_60000552	ko00001			K07399					gene
343	c_000000000008	0	375			Coenzyme transport and metabolism	7-keto-8-aminopelargonate synthetase or related enzyme (BioF) (PDB:1BS0)	Biotin biosynthesis	8-amino-7-oxononanoate synthase											H	COG0156	COG0156	CyCOG_60000651									gene
648	c_000000000027	0	297			Carbohydrate transport and metabolism	Fructose/tagatose bisphosphate aldolase (Fba) (PDB:1B57)	Glycolysis	fructose-bisphosphate aldolase	KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00010 Glycolysis / Gluconeogenesis [PATH:ko00010]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00030 Pentose phosphate pathway [PATH:ko00030]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00051 Fructose and mannose metabolism [PATH:ko00051]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00680 Methane metabolism [PATH:ko00680]!!!Enzymes>>>4. Lyases>>>4.1  Carbon-carbon lyases>>>4.1.2  Aldehyde-lyases>>>4.1.2.13  fructose-bisphosphate aldolase	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Methane metabolism!!!Pathway modules; Energy metabolism; Methane metabolism!!!Signature modules; Module set; Metabolic capacity!!!Signature modules; Module set; Metabolic capacity	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Gluconeogenesis, oxaloacetate => fructose-6P!!!Reductive pentose phosphate cycle (Calvin cycle)!!!Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P!!!Formaldehyde assimilation, ribulose monophosphate pathway!!!Formaldehyde assimilation, xylulose monophosphate pathway!!!Oxygenic photosynthesis in plants and cyanobacteria!!!Anoxygenic photosynthesis in purple bacteria	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]							G	COG0191	COG0191	CyCOG_60001287	ko00001!!!ko00001!!!ko00001!!!ko00001!!!ko00001!!!ko01000	M00001!!!M00003!!!M00165!!!M00167!!!M00345!!!M00344!!!M00611!!!M00612	M00001!!!M00003!!!M00165!!!M00167!!!M00345!!!M00344!!!M00611!!!M00612	K01624					gene
1289	c_000000000044	0	573			Amino acid transport and metabolism	Aspartate/methionine/tyrosine aminotransferase (AspB) (PDB:2O0R)	Isoleucine, leucine, valine biosynthesis	LL-diaminopimelate aminotransferase apoenzyme											E	COG0436	COG0436	CyCOG_60000106									gene
375	c_000000000011	0	300			Cell cycle control, cell division, chromosome partitioning!!!General function prediction only	Spore germination protein YkwD and related proteins with CAP (CSP/antigen 5/PR1) domain (YkwD) (PDB:1CFE) (PUBMED:31199835)		protein of unknown function (DUF4214)											D!!!R	COG2340		CyCOG_60001883									gene
11	c_000000000002	0	159			General function prediction only	Short-chain dehydrogenase (YqjQ)		Short-chain dehydrogenase											R	COG0300		CyCOG_60001069									gene
1891	c_000000000055	0	1923			Replication, recombination and repair	DNA polymerase III, gamma/tau subunits (DnaX) (PDB:1A5T)		DNA polymerase-3 subunit gamma/tau	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03030 DNA replication [PATH:ko03030]!!!KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03430 Mismatch repair [PATH:ko03430]!!!KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03440 Homologous recombination [PATH:ko03440]!!!Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.7  Nucleotidyltransferases>>>2.7.7.7  DNA-directed DNA polymerase!!!DNA replication proteins>>>Prokaryotic type>>>DNA Replication Elongation Factors>>>Elongation factors (bacterial)>>>DNA polymerase III holoenzyme!!!DNA repair and recombination proteins>>>Prokaryotic type>>>SSBR (single strand breaks repair)>>>MMR (mismatch excision repair)>>>DNA polymerase III holoenzyme			DNA polymerase III subunit gamma/tau [EC:2.7.7.7]							L	COG2812		CyCOG_60000108	ko00001!!!ko00001!!!ko00001!!!ko01000!!!ko03032!!!ko03400			K02343					gene
1802	c_000000000054	0	120			Nucleotide transport and metabolism	Phosphoribosylaminoimidazole-succinocarboxamide synthase (PurC) (PDB:1A48)	Purine biosynthesis	phosphoribosylaminoimidazole-succinocarboxamide synthase											F	COG0152	COG0152	CyCOG_60000849									gene
1472	c_000000000052	0	777			Replication, recombination and repair!!!Coenzyme transport and metabolism	ADP-ribose pyrophosphatase domain of DNA damage- and competence-inducible protein CinA (CinA) (PDB:4CT9) (PUBMED:25313401)!!!Nicotinamide mononucleotide (NMN) deamidase PncC (PncC) (PDB:2A9S)	NAD biosynthesis	competence/damage-inducible protein cinA	KEGG Orthology (KO)>>>09100 Metabolism>>>09108 Metabolism of cofactors and vitamins>>>00760 Nicotinate and nicotinamide metabolism [PATH:ko00760]!!!Enzymes>>>3. Hydrolases>>>3.5  Acting on carbon-nitrogen bonds, other than peptide bonds>>>3.5.1  In linear amides>>>3.5.1.42  nicotinamide-nucleotide amidase			nicotinamide-nucleotide amidase [EC:3.5.1.42]							L!!!H	COG1058!!!COG1546	COG1058!!!COG1546	CyCOG_60000054	ko00001!!!ko01000			K03742					gene
1382	c_000000000049	0	1170			Cell wall/membrane/envelope biogenesis	Lipid A disaccharide synthetase (LpxB) (PDB:5W8N)	Lipid A biosynthesis	lipid-A-disaccharide synthase	KEGG Orthology (KO)>>>09100 Metabolism>>>09107 Glycan biosynthesis and metabolism>>>00540 Lipopolysaccharide biosynthesis [PATH:ko00540]!!!Enzymes>>>2. Transferases>>>2.4  Glycosyltransferases>>>2.4.1  Hexosyltransferases>>>2.4.1.182  lipid-A-disaccharide synthase!!!Lipopolysaccharide biosynthesis proteins>>>Lipid A	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism!!!Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type!!!KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	lipid-A-disaccharide synthase [EC:2.4.1.182]							M	COG0763	COG0763	CyCOG_60000759	ko00001!!!ko01000!!!ko01005	M00060!!!M00866	M00060!!!M00866	K00748					gene
