contig	Position	Modification	Total_coverage	Percent_modified	gene_callers_id	start	stop	Archaea_76	Bacteria_71	COG20_CATEGORY	COG20_FUNCTION	COG20_PATHWAY	CyCOGv6	KEGG_BRITE	KEGG_Class	KEGG_Module	KOfam	Protista_83	Transfer_RNAs	Archaea_76_ACC	Bacteria_71_ACC	COG20_CATEGORY_ACC	COG20_FUNCTION_ACC	COG20_PATHWAY_ACC	CyCOGv6_ACC	KEGG_BRITE_ACC	KEGG_Class_ACC	KEGG_Module_ACC	KOfam_ACC	Protista_83_ACC	Transfer_RNAs_ACC	type
c_000000000001	10195	6mA	199	0.68	6.0	9011	11318			Energy production and conversion	Photosystem I reaction center subunit A1, PsaA (PsaA) (PDB:4KT0) (PUBMED:11687205;11418848)	Photosystem I	photosystem I P700 chlorophyll a apoprotein A1	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00195 Photosynthesis [PATH:ko00195]!!!Photosynthesis proteins>>>Photosystem and electron transport system>>>Photosystem I (P700 chlorophyll a) [OT]>>>Main subunits	Pathway modules; Energy metabolism; Photosynthesis!!!Signature modules; Module set; Metabolic capacity	Photosystem I!!!Oxygenic photosynthesis in plants and cyanobacteria	photosystem I P700 chlorophyll a apoprotein A1					C	COG5701	COG5701	CyCOG_60000087	ko00001!!!ko00194	M00163!!!M00611	M00163!!!M00611	K02689			gene
c_000000000001	10831	6mA	298	0.82	6.0	9011	11318			Energy production and conversion	Photosystem I reaction center subunit A1, PsaA (PsaA) (PDB:4KT0) (PUBMED:11687205;11418848)	Photosystem I	photosystem I P700 chlorophyll a apoprotein A1	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00195 Photosynthesis [PATH:ko00195]!!!Photosynthesis proteins>>>Photosystem and electron transport system>>>Photosystem I (P700 chlorophyll a) [OT]>>>Main subunits	Pathway modules; Energy metabolism; Photosynthesis!!!Signature modules; Module set; Metabolic capacity	Photosystem I!!!Oxygenic photosynthesis in plants and cyanobacteria	photosystem I P700 chlorophyll a apoprotein A1					C	COG5701	COG5701	CyCOG_60000087	ko00001!!!ko00194	M00163!!!M00611	M00163!!!M00611	K02689			gene
c_000000000001	10957	6mA	316	0.85	6.0	9011	11318			Energy production and conversion	Photosystem I reaction center subunit A1, PsaA (PsaA) (PDB:4KT0) (PUBMED:11687205;11418848)	Photosystem I	photosystem I P700 chlorophyll a apoprotein A1	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00195 Photosynthesis [PATH:ko00195]!!!Photosynthesis proteins>>>Photosystem and electron transport system>>>Photosystem I (P700 chlorophyll a) [OT]>>>Main subunits	Pathway modules; Energy metabolism; Photosynthesis!!!Signature modules; Module set; Metabolic capacity	Photosystem I!!!Oxygenic photosynthesis in plants and cyanobacteria	photosystem I P700 chlorophyll a apoprotein A1					C	COG5701	COG5701	CyCOG_60000087	ko00001!!!ko00194	M00163!!!M00611	M00163!!!M00611	K02689			gene
c_000000000001	13060	6mA	766	0.89	7.0	11342	13571			Energy production and conversion	Photosystem I reaction center subunit A2, PsaB (PsaB) (PDB:4KT0) (PUBMED:11687205;11418848)	Photosystem I	photosystem I P700 chlorophyll a apoprotein A2	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00195 Photosynthesis [PATH:ko00195]!!!Photosynthesis proteins>>>Photosystem and electron transport system>>>Photosystem I (P700 chlorophyll a) [OT]>>>Main subunits	Pathway modules; Energy metabolism; Photosynthesis!!!Signature modules; Module set; Metabolic capacity	Photosystem I!!!Oxygenic photosynthesis in plants and cyanobacteria	photosystem I P700 chlorophyll a apoprotein A2					C	COG5702	COG5702	CyCOG_60000081	ko00001!!!ko00194	M00163!!!M00611	M00163!!!M00611	K02690			gene
c_000000000001	30458	6mA	220	0.95	23.1	29954	30568																									intergenic
c_000000000001	38960	6mA	10	0.8	36.0	38777	40097	SecY	SecY	Intracellular trafficking, secretion, and vesicular transport	Preprotein translocase subunit SecY (SecY) (PDB:1RH5)		protein translocase subunit secY/sec61 alpha	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09123 Folding, sorting and degradation>>>03060 Protein export [PATH:ko03060]!!!KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>03070 Bacterial secretion system [PATH:ko03070]!!!KEGG Orthology (KO)>>>09140 Cellular Processes>>>09145 Cellular community - prokaryotes>>>02024 Quorum sensing [PATH:ko02024]!!!Secretion system>>>Sec (secretion) system>>>Prokaryotic Sec-SRP core components			preprotein translocase subunit SecY			PF00344.20	PF00344.20	U	COG0201		CyCOG_60000241	ko00001!!!ko00001!!!ko00001!!!ko02044			K03076			gene
c_000000000001	39044	6mA	10	0.8	36.0	38777	40097	SecY	SecY	Intracellular trafficking, secretion, and vesicular transport	Preprotein translocase subunit SecY (SecY) (PDB:1RH5)		protein translocase subunit secY/sec61 alpha	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09123 Folding, sorting and degradation>>>03060 Protein export [PATH:ko03060]!!!KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>03070 Bacterial secretion system [PATH:ko03070]!!!KEGG Orthology (KO)>>>09140 Cellular Processes>>>09145 Cellular community - prokaryotes>>>02024 Quorum sensing [PATH:ko02024]!!!Secretion system>>>Sec (secretion) system>>>Prokaryotic Sec-SRP core components			preprotein translocase subunit SecY			PF00344.20	PF00344.20	U	COG0201		CyCOG_60000241	ko00001!!!ko00001!!!ko00001!!!ko02044			K03076			gene
c_000000000001	39272	6mA	10	0.8	36.0	38777	40097	SecY	SecY	Intracellular trafficking, secretion, and vesicular transport	Preprotein translocase subunit SecY (SecY) (PDB:1RH5)		protein translocase subunit secY/sec61 alpha	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09123 Folding, sorting and degradation>>>03060 Protein export [PATH:ko03060]!!!KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>03070 Bacterial secretion system [PATH:ko03070]!!!KEGG Orthology (KO)>>>09140 Cellular Processes>>>09145 Cellular community - prokaryotes>>>02024 Quorum sensing [PATH:ko02024]!!!Secretion system>>>Sec (secretion) system>>>Prokaryotic Sec-SRP core components			preprotein translocase subunit SecY			PF00344.20	PF00344.20	U	COG0201		CyCOG_60000241	ko00001!!!ko00001!!!ko00001!!!ko02044			K03076			gene
c_000000000001	41738	6mA	32	0.75	40.0	41657	42197	Ribosomal_L6	Ribosomal_L6	Translation, ribosomal structure and biogenesis	Ribosomal protein L6P/L9E (RplF) (PDB:1VS6)	Ribosome 50S subunit	LSU ribosomal protein L6P	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>03010 Ribosome [PATH:ko03010]!!!Ribosome>>>Ribosomal proteins>>>Mitochondria/ Chloroplast>>>Large subunit!!!Ribosome>>>Ribosomal proteins>>>Bacteria>>>Large subunit!!!Ribosome>>>Ribosomal proteins>>>Archaea>>>Large subunit			large subunit ribosomal protein L6			PF00347.23	PF00347.23	J	COG0097	COG0097	CyCOG_60000372	ko00001!!!ko03011!!!ko03011!!!ko03011			K02933			gene
c_000000000001	42528	6mA	31	0.77	41.0	42214	42616	Ribosomal_S8	Ribosomal_S8	Translation, ribosomal structure and biogenesis	Ribosomal protein S8 (RpsH) (PDB:4V4H)	Ribosome 30S subunit	SSU ribosomal protein S8P	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>03010 Ribosome [PATH:ko03010]!!!Ribosome>>>Ribosomal proteins>>>Bacteria>>>Small subunit!!!Ribosome>>>Ribosomal proteins>>>Archaea>>>Small subunit			small subunit ribosomal protein S8			PF00410.19	PF00410.19	J	COG0096	COG0096	CyCOG_60000538	ko00001!!!ko03011!!!ko03011			K02994			gene
c_000000000001	43999	6mA	13	0.69	46.0	43986	44295	Ribosomal_S17	Ribosomal_S17	Translation, ribosomal structure and biogenesis	Ribosomal protein S17 (RpsQ) (PDB:4V4H)	Ribosome 30S subunit	SSU ribosomal protein S17P	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>03010 Ribosome [PATH:ko03010]!!!Ribosome>>>Ribosomal proteins>>>Mitochondria/ Chloroplast>>>Small subunit!!!Ribosome>>>Ribosomal proteins>>>Bacteria>>>Small subunit!!!Ribosome>>>Ribosomal proteins>>>Archaea>>>Small subunit			small subunit ribosomal protein S17			PF00366.20	PF00366.20	J	COG0186	COG0186	CyCOG_60000755	ko00001!!!ko03011!!!ko03011!!!ko03011			K02961			gene
c_000000000001	64892	6mA	456	0.86	73.0	64766	67787			Energy production and conversion	Phosphoenolpyruvate carboxylase (Ppc) (PDB:1FIY)	Urea cycle	Phosphoenolpyruvate carboxylase, type 1	KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00620 Pyruvate metabolism [PATH:ko00620]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00680 Methane metabolism [PATH:ko00680]!!!Enzymes>>>4. Lyases>>>4.1  Carbon-carbon lyases>>>4.1.1  Carboxy-lyases>>>4.1.1.31  phosphoenolpyruvate carboxylase	Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Methane metabolism!!!Signature modules; Module set; Metabolic capacity	CAM (Crassulacean acid metabolism), dark!!!C4-dicarboxylic acid cycle, NADP - malic enzyme type!!!C4-dicarboxylic acid cycle, NAD - malic enzyme type!!!C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!Dicarboxylate-hydroxybutyrate cycle!!!Formaldehyde assimilation, serine pathway!!!Anoxygenic photosynthesis in green sulfur bacteria	phosphoenolpyruvate carboxylase [EC:4.1.1.31]					C	COG2352	COG2352	CyCOG_60000142	ko00001!!!ko00001!!!ko00001!!!ko00001!!!ko01000	M00168!!!M00172!!!M00171!!!M00170!!!M00173!!!M00374!!!M00346!!!M00614	M00168!!!M00172!!!M00171!!!M00170!!!M00173!!!M00374!!!M00346!!!M00614	K01595			gene
